X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,CI_ID,CSLLEA08ID,SUBTYPE1,SUBTYPE2,TRIBAL,NUMPRE,NUMFIXSUB,NUMMOBILE,FTSWORN,FTCIV,PTSWORN,PTCIV
-8278334.7355,5000017.5788,5390,1013536,MONTVILLE TOWNSHIP POLICE DEPARTMENT,360 COUNTY ROAD 202,MONTVILLE,NJ,07045,NOT AVAILABLE,(973) 334-2730,LOCAL POLICE DEPARTMENT,OPEN,47,MORRIS,34027,USA,40.9163938,-74.3655462,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/18 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12533130,-999,-999,0,0,0,0,41,6,1,1
-8285197.4104,4999454.7831,5396,1013244,BOONTON TOWNSHIP POLICE DEPARTMENT,155 POWERVILLE ROAD,BOONTON TOWNSHIP,NJ,07005,8729,(973) 402-4000,LOCAL POLICE DEPARTMENT,OPEN,15,MORRIS,34027,USA,40.9125732840001,-74.427194657,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/18 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12333210,-999,-999,0,0,0,0,14,1,0,0
-8242403.9208,4915351.9002,5413,1013487,LITTLE SILVER POLICE DEPARTMENT,480 PROSPECT AVENUE,LITTLE SILVER,NJ,07739,1430,(732) 747-5900,LOCAL POLICE DEPARTMENT,OPEN,21,MONMOUTH,34025,USA,40.3391649000001,-74.042774199,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/18 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11543140,-999,-999,0,0,0,0,16,5,0,5
-8321629.6908,5020966.8815,5414,1013587,SUSSEX COUNTY SHERIFFS OFFICE,39 HIGH STREET,NEWTON,NJ,07860,1725,(973) 579-0850,SHERIFF'S OFFICE,OPEN,146,SUSSEX,34037,USA,41.0584502,-74.7544713999999,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/18 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13997290,-999,-999,0,0,0,0,122,24,0,0
-8263739.7039,4852234.6235,5443,1013220,BERKELEY TOWNSHIP POLICE DEPARTMENT,631 PINEWALD KESWICK ROAD,BAYVILLE,NJ,08721,NOT AVAILABLE,(732) 341-6600,LOCAL POLICE DEPARTMENT,OPEN,96,OCEAN,34029,USA,39.9056057000001,-74.2344368,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/18 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12633380,-999,-999,0,0,0,0,74,22,0,16
-8287196.3125,4958492.4419,5468,1013775,WATCHUNG POLICE DEPARTMENT,840 SOMERSET STREET,WATCHUNG,NJ,07069,4950,(908) 756-3663,LOCAL POLICE DEPARTMENT,OPEN,36,SOMERSET,34035,USA,40.6339095000001,-74.4451511,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/20 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11984910,-999,-999,0,0,0,0,29,7,0,0
-8268977.7202,4936638.1469,5502,1013705,SOUTH AMBOY POLICE DEPARTMENT,140 NORTH BROADWAY,SOUTH AMBOY,NJ,08879,1642,(732) 721-0111,LOCAL POLICE DEPARTMENT,OPEN,35,MIDDLESEX,34023,USA,40.4847584610001,-74.2814907009999,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/23 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11213070,-999,-999,0,0,0,0,30,5,0,2
-8238062.8382,4981641.9779,5536,1013397,GUTTENBERG POLICE DEPARTMENT,6808 PARK AVENUE,GUTTENBERG,NJ,07093,4406,(201) 868-3300,LOCAL POLICE DEPARTMENT,OPEN,30,HUDSON,34017,USA,40.791537706,-74.003777591,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/23 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12793260,-999,-999,0,0,0,0,22,8,0,17
-8269934.0791,4986069.2372,5537,1013676,BOROUGH OF ROSELAND POLICE DEPARTMENT,15 HARRISON AVENUE,ROSELAND,NJ,07068,1307,(973) 226-8700,LOCAL POLICE DEPARTMENT,OPEN,33,ESSEX,34013,USA,40.821640975,-74.290081819,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/23 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12613000,-999,-999,0,0,0,0,28,5,0,0
-8260364.6369,4929599.6422,5550,1013459,KEYPORT POLICE DEPARTMENT,70 WEST FRONT STREET,KEYPORT,NJ,07735,1241,(732) 264-0706,LOCAL POLICE DEPARTMENT,OPEN,25,MONMOUTH,34025,USA,40.436651393,-74.204118057,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/23 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13608360,-999,-999,0,0,0,0,19,6,4,14
-8275414.9304,5012557.909,5603,1013276,BUTLER POLICE DEPARTMENT,10 HIGH STREET,BUTLER,NJ,07405,NOT AVAILABLE,(973) 838-4100,LOCAL POLICE DEPARTMENT,OPEN,23,MORRIS,34027,USA,41.001466055,-74.3393171439999,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/23 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12903280,-999,-999,0,0,0,0,17,6,0,4
-8237453.3878,4989954.7348,5608,1013612,PALISADES PARK POLICE DEPARTMENT,275 BROAD AVENUE,PALISADES PARK,NJ,07650,1534,(201) 944-0900,LOCAL POLICE DEPARTMENT,OPEN,39,BERGEN,34003,USA,40.8480492690001,-73.998302805,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/23 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12223080,-999,-999,0,0,0,0,31,8,0,13
-8301611.7079,4761658.3131,5609,1013604,OCEAN CITY POLICE DEPARTMENT,835 CENTRAL AVENUE,OCEAN CITY,NJ,08226,3613,(609) 399-9111,LOCAL POLICE DEPARTMENT,OPEN,77,CAPE MAY,34009,USA,39.2786052000001,-74.5746468,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/23 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12043120,-999,-999,0,0,1,0,59,18,0,14
-8258173.6204,5003596.5262,5626,1013405,HALEDON POLICE DEPARTMENT,510 BELMONT AVE,HALEDON,NJ,07508,1315,(973) 790-4444,LOCAL POLICE DEPARTMENT,OPEN,19,PASSAIC,34031,USA,40.940684176,-74.184435821,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/23 00:00:00+00,http://www.haledonboronj.com/,NOT AVAILABLE,12013240,-999,-999,0,0,0,0,17,2,22,4
-8291492.6771,5042212.9233,5630,1013761,VERNON TOWNSHIP POLICE DEPARTMENT,21 CHURCH STREET,VERNON,NJ,07462,3171,(973) 764-6155,LOCAL POLICE DEPARTMENT,OPEN,42,SUSSEX,34037,USA,41.2022061000001,-74.4837459999999,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/23 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12363090,-999,-999,0,0,0,0,32,10,0,0
-8249785.2937,4986666.5687,5631,1013681,BOROUGH OF RUTHERFORD POLICE DEPARTMENT,184 PARK AVENUE,RUTHERFORD,NJ,07070,2311,(201) 939-6000,LOCAL POLICE DEPARTMENT,OPEN,46,BERGEN,34003,USA,40.825701501,-74.1090822,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/23 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11663070,-999,-999,0,0,0,0,40,6,0,1
-8283997.2241,4976544.6093,5632,1013495,MADISON POLICE DEPARTMENT,50 KINGS ROAD,MADISON,NJ,07940,2575,(973) 593-3000,LOCAL POLICE DEPARTMENT,OPEN,36,MORRIS,34027,USA,40.7568611,-74.4164132,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/23 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12953170,-999,-999,0,0,0,0,33,3,0,2
-8240980.5787,4973734.4162,5633,1013433,HOBOKEN POLICE DEPARTMENT,106 HUDSON STREET,HOBOKEN,NJ,07030,5704,(201) 420-2100,LOCAL POLICE DEPARTMENT,OPEN,172,HUDSON,34017,USA,40.737736054,-74.0299881,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/23 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11133110,-999,-999,0,0,1,0,156,16,0,0
-8237188.458,5002711.3498,5637,1013232,BERGENFIELD POLICE DEPARTMENT,198 NORTH WASHINGTON AVENUE,BERGENFIELD,NJ,07621,1352,(201) 387-4000,LOCAL POLICE DEPARTMENT,OPEN,51,BERGEN,34003,USA,40.9346773,-73.9959229,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/23 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12323330,-999,-999,0,0,0,0,43,8,0,3
-8302823.8936,4980276.6692,5638,1013517,MENDHAM BOROUGH POLICE DEPARTMENT,3 COLD HILL ROAD SOUTH,MENDHAM,NJ,07945,3206,(973) 543-2527,LOCAL POLICE DEPARTMENT,OPEN,13,MORRIS,34027,USA,40.7822514980001,-74.58553605,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/23 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13213420,-999,-999,0,0,0,0,12,1,0,1
-8252364.1574,5002957.2822,6189,1013356,FAIR LAWN POLICE DEPARTMENT,8-01 FAIR LAWN AVENUE,FAIR LAWN,NJ,07410,1800,(201) 796-1400,LOCAL POLICE DEPARTMENT,OPEN,77,BERGEN,34003,USA,40.936346271,-74.1322485269999,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11093290,-999,-999,0,0,0,0,63,14,0,0
-8256652.7823,5000441.1867,6219,1013620,PATERSON POLICE DEPARTMENT,111 BROADWAY,PATERSON,NJ,07505,1124,(973) 321-1111,LOCAL POLICE DEPARTMENT,OPEN,593,PASSAIC,34031,USA,40.9192693000001,-74.1707739,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12743090,-999,-999,0,0,0,1,497,96,0,0
-8264502.2672,4802647.3686,6221,1013221,BEACH HAVEN POLICE DEPARTMENT,300 ENGLESIDE AVENUE,BEACH HAVEN,NJ,08008,1704,(609) 492-0505,LOCAL POLICE DEPARTMENT,OPEN,12,OCEAN,34029,USA,39.5630485030001,-74.241287023,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12823320,-999,-999,0,0,0,0,10,2,0,4
-8266059.3906,4958165.2744,6222,1013479,LINDEN POLICE DEPARTMENT,301 NORTH WOOD AVENUE,LINDEN,NJ,07036,7218,(908) 474-8500,LOCAL POLICE DEPARTMENT,OPEN,166,UNION,34039,USA,40.6316791,-74.2552749,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13917890,-999,-999,0,0,1,0,133,33,0,0
-8267499.7858,4903870.2923,6223,1013377,FREEHOLD BOROUGH POLICE DEPARTMENT,36 JACKSON STREET,FREEHOLD,NJ,07728,2414,(732) 462-1233,LOCAL POLICE DEPARTMENT,OPEN,43,MONMOUTH,34025,USA,40.2605023180001,-74.26821419,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11543290,-999,-999,0,0,0,0,35,8,2,2
-8261896.0639,4998131.447,6225,1013739,TOTOWA POLICE DEPARTMENT,537 TOTOWA ROAD,TOTOWA,NJ,07512,2018,(973) 790-3700,LOCAL POLICE DEPARTMENT,OPEN,31,PASSAIC,34031,USA,40.9035890000001,-74.2178751,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12423060,-999,-999,0,0,0,0,28,3,0,1
-8243053.4144,4883645.455,6227,1013500,MANASQUAN POLICE DEPARTMENT,201 EAST MAIN STREET,MANASQUAN,NJ,08736,3004,(732) 223-1000,LOCAL POLICE DEPARTMENT,OPEN,24,MONMOUTH,34025,USA,40.1217156000001,-74.0486087,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12563190,-999,-999,0,0,0,0,18,6,0,33
-8334853.6448,4939346.2149,6230,1013367,RARITAN TOWNSHIP POLICE DEPARTMENT,2 MUNICIPAL DRIVE,FLEMINGTON,NJ,08822,3446,(908) 782-8889,LOCAL POLICE DEPARTMENT,OPEN,37,HUNTERDON,34019,USA,40.5032585000001,-74.8732641999999,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12323020,-999,-999,0,0,0,0,34,3,0,0
-8356021.1795,4807282.3141,6231,1013376,TOWNSHIP OF FRANKLIN POLICE DEPARTMENT,1571 DELSEA DRIVE,FRANKLINVILLE,NJ,08322,2391,(856) 694-1415,LOCAL POLICE DEPARTMENT,OPEN,32,GLOUCESTER,34015,USA,39.5951396,-75.0634153999999,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11193290,-999,-999,0,0,0,1,29,3,1,1
